time_period_start;time_period_end;time_open;time_close;price_close
2019-01-28T00:00:00.0000000Z;2019-02-04T00:00:00.0000000Z;2019-01-28T01:21:51.0000000Z;2019-02-03T23:05:14.0000000Z;0.385800000
2019-02-04T00:00:00.0000000Z;2019-02-11T00:00:00.0000000Z;2019-02-04T01:29:48.0000000Z;2019-02-10T23:13:50.0000000Z;0.452200000
2019-02-11T00:00:00.0000000Z;2019-02-18T00:00:00.0000000Z;2019-02-11T00:05:50.0000000Z;2019-02-17T22:30:59.0000000Z;0.449400000
2019-02-18T00:00:00.0000000Z;2019-02-25T00:00:00.0000000Z;2019-02-18T01:07:56.0000000Z;2019-02-24T19:24:10.0000000Z;0.404900000
2019-02-25T00:00:00.0000000Z;2019-03-04T00:00:00.0000000Z;2019-02-25T00:43:34.0000000Z;2019-03-03T17:50:54.0000000Z;0.425800000
2019-03-04T00:00:00.0000000Z;2019-03-11T00:00:00.0000000Z;2019-03-04T00:07:38.0000000Z;2019-03-10T23:24:54.0000000Z;0.502700000
2019-03-11T00:00:00.0000000Z;2019-03-18T00:00:00.0000000Z;2019-03-11T00:55:38.0000000Z;2019-03-17T23:23:04.0000000Z;0.479700000
2019-03-18T00:00:00.0000000Z;2019-03-25T00:00:00.0000000Z;2019-03-18T04:49:31.0000000Z;2019-03-24T21:13:08.0000000Z;0.454400000
2019-03-25T00:00:00.0000000Z;2019-04-01T00:00:00.0000000Z;2019-03-25T00:22:09.0000000Z;2019-03-31T19:40:40.0000000Z;0.509100000
2019-04-01T00:00:00.0000000Z;2019-04-08T00:00:00.0000000Z;2019-04-01T00:25:31.0000000Z;2019-04-07T23:59:57.0000000Z;0.576400000
2019-04-08T00:00:00.0000000Z;2019-04-15T00:00:00.0000000Z;2019-04-08T00:21:08.0000000Z;2019-04-14T23:15:11.0000000Z;0.524700000
2019-04-15T00:00:00.0000000Z;2019-04-22T00:00:00.0000000Z;2019-04-15T00:09:30.0000000Z;2019-04-21T23:47:33.0000000Z;0.490500000
2019-04-22T00:00:00.0000000Z;2019-04-29T00:00:00.0000000Z;2019-04-22T05:24:30.0000000Z;2019-04-28T22:53:53.0000000Z;0.447800000
2019-04-29T00:00:00.0000000Z;2019-05-06T00:00:00.0000000Z;2019-04-29T02:26:09.0000000Z;2019-05-05T07:42:56.0000000Z;0.502600000
2019-05-06T00:00:00.0000000Z;2019-05-13T00:00:00.0000000Z;2019-05-06T02:36:41.0000000Z;2019-05-12T23:33:46.0000000Z;0.652100000
2019-05-13T00:00:00.0000000Z;2019-05-20T00:00:00.0000000Z;2019-05-13T00:41:45.0000000Z;2019-05-19T23:38:56.0000000Z;1.017200000
2019-05-20T00:00:00.0000000Z;2019-05-27T00:00:00.0000000Z;2019-05-20T00:04:56.0000000Z;2019-05-26T23:57:26.0000000Z;1.083700000
2019-05-27T00:00:00.0000000Z;2019-06-03T00:00:00.0000000Z;2019-05-27T00:04:34.0000000Z;2019-06-02T23:41:52.0000000Z;1.024400000
2019-06-03T00:00:00.0000000Z;2019-06-10T00:00:00.0000000Z;2019-06-03T00:07:04.0000000Z;2019-06-09T23:22:04.0000000Z;1.058400000
2019-06-10T00:00:00.0000000Z;2019-06-17T00:00:00.0000000Z;2019-06-10T00:13:51.0000000Z;2019-06-16T23:49:22.0000000Z;1.670600000
2019-06-17T00:00:00.0000000Z;2019-06-24T00:00:00.0000000Z;2019-06-17T00:02:48.0000000Z;2019-06-23T23:58:08.0000000Z;1.810700000
2019-06-24T00:00:00.0000000Z;2019-07-01T00:00:00.0000000Z;2019-06-24T00:15:13.0000000Z;2019-06-30T23:59:10.0000000Z;3.396100000
2019-07-01T00:00:00.0000000Z;2019-07-08T00:00:00.0000000Z;2019-07-01T00:00:49.0000000Z;2019-07-07T23:50:59.0000000Z;3.255100000
2019-07-08T00:00:00.0000000Z;2019-07-15T00:00:00.0000000Z;2019-07-08T00:13:30.0000000Z;2019-07-14T23:53:46.0000000Z;2.779900000
2019-07-15T00:00:00.0000000Z;2019-07-22T00:00:00.0000000Z;2019-07-15T00:03:31.0000000Z;2019-07-21T23:36:54.0000000Z;2.532400000
2019-07-22T00:00:00.0000000Z;2019-07-29T00:00:00.0000000Z;2019-07-22T00:08:58.0000000Z;2019-07-28T23:31:41.0000000Z;2.204000000
2019-07-29T00:00:00.0000000Z;2019-08-05T00:00:00.0000000Z;2019-07-29T00:00:50.0000000Z;2019-08-04T23:59:59.0000000Z;2.501300000
2019-08-05T00:00:00.0000000Z;2019-08-12T00:00:00.0000000Z;2019-08-05T00:00:04.0000000Z;2019-08-11T23:33:19.0000000Z;2.403800000
2019-08-12T00:00:00.0000000Z;2019-08-19T00:00:00.0000000Z;2019-08-12T00:02:41.0000000Z;2019-08-18T23:32:18.0000000Z;2.483700000
2019-08-19T00:00:00.0000000Z;2019-08-26T00:00:00.0000000Z;2019-08-19T00:10:38.0000000Z;2019-08-25T23:13:22.0000000Z;2.087500000
2019-08-26T00:00:00.0000000Z;2019-09-02T00:00:00.0000000Z;2019-08-26T00:07:17.0000000Z;2019-09-01T23:33:22.0000000Z;1.770000000
2019-09-02T00:00:00.0000000Z;2019-09-09T00:00:00.0000000Z;2019-09-02T00:48:19.0000000Z;2019-09-08T23:57:16.0000000Z;1.820000000
2019-09-09T00:00:00.0000000Z;2019-09-16T00:00:00.0000000Z;2019-09-09T00:12:28.0000000Z;2019-09-15T22:46:59.0000000Z;1.610000000
2019-09-16T00:00:00.0000000Z;2019-09-23T00:00:00.0000000Z;2019-09-16T00:09:09.0000000Z;2019-09-22T23:22:37.0000000Z;1.799900000
2019-09-23T00:00:00.0000000Z;2019-09-30T00:00:00.0000000Z;2019-09-23T02:00:58.0000000Z;2019-09-29T23:42:24.0000000Z;1.703300000
2019-09-30T00:00:00.0000000Z;2019-10-07T00:00:00.0000000Z;2019-09-30T02:51:14.0000000Z;2019-10-06T23:57:00.0000000Z;2.157300000
2019-10-07T00:00:00.0000000Z;2019-10-14T00:00:00.0000000Z;2019-10-07T00:06:16.0000000Z;2019-10-13T23:53:52.0000000Z;2.474500000
2019-10-14T00:00:00.0000000Z;2019-10-21T00:00:00.0000000Z;2019-10-14T00:42:46.0000000Z;2019-10-20T23:56:30.0000000Z;2.441900000
2019-10-21T00:00:00.0000000Z;2019-10-28T00:00:00.0000000Z;2019-10-21T00:04:23.0000000Z;2019-10-27T23:31:36.0000000Z;2.670600000
2019-10-28T00:00:00.0000000Z;2019-11-04T00:00:00.0000000Z;2019-10-28T00:01:11.0000000Z;2019-11-03T23:04:32.0000000Z;2.672400000
2019-11-04T00:00:00.0000000Z;2019-11-11T00:00:00.0000000Z;2019-11-04T00:17:35.0000000Z;2019-11-10T23:45:43.0000000Z;2.765100000
2019-11-11T00:00:00.0000000Z;2019-11-18T00:00:00.0000000Z;2019-11-11T00:13:59.0000000Z;2019-11-17T23:01:04.0000000Z;2.882700000
2019-11-18T00:00:00.0000000Z;2019-11-25T00:00:00.0000000Z;2019-11-18T00:22:32.0000000Z;2019-11-24T23:55:31.0000000Z;2.209400000
2019-11-25T00:00:00.0000000Z;2019-12-02T00:00:00.0000000Z;2019-11-25T00:19:17.0000000Z;2019-12-01T20:25:49.0000000Z;2.175200000
2019-12-02T00:00:00.0000000Z;2019-12-09T00:00:00.0000000Z;2019-12-02T00:22:15.0000000Z;2019-12-08T23:53:43.0000000Z;2.048400000
2019-12-09T00:00:00.0000000Z;2019-12-16T00:00:00.0000000Z;2019-12-09T01:15:02.0000000Z;2019-12-15T20:38:50.0000000Z;2.093300000
2019-12-16T00:00:00.0000000Z;2019-12-23T00:00:00.0000000Z;2019-12-16T00:46:17.0000000Z;2019-12-22T22:05:27.0000000Z;1.902000000
2019-12-23T00:00:00.0000000Z;2019-12-30T00:00:00.0000000Z;2019-12-23T00:20:43.0000000Z;2019-12-29T23:28:16.0000000Z;1.894000000
2019-12-30T00:00:00.0000000Z;2020-01-06T00:00:00.0000000Z;2019-12-30T00:10:26.0000000Z;2020-01-05T20:15:43.0000000Z;1.826900000
2020-01-06T00:00:00.0000000Z;2020-01-13T00:00:00.0000000Z;2020-01-06T01:08:12.0000000Z;2020-01-12T23:29:08.0000000Z;2.235700000
2020-01-13T00:00:00.0000000Z;2020-01-20T00:00:00.0000000Z;2020-01-13T00:01:58.0000000Z;2020-01-19T22:36:02.0000000Z;2.605400000
2020-01-20T00:00:00.0000000Z;2020-01-27T00:00:00.0000000Z;2020-01-20T00:12:03.0000000Z;2020-01-26T23:46:58.0000000Z;2.576700000
2020-01-27T00:00:00.0000000Z;2020-02-03T00:00:00.0000000Z;2020-01-27T00:00:56.0000000Z;2020-02-02T23:25:15.0000000Z;2.820200000
2020-02-03T00:00:00.0000000Z;2020-02-10T00:00:00.0000000Z;2020-02-03T00:04:12.0000000Z;2020-02-09T23:58:06.0000000Z;3.486200000
2020-02-10T00:00:00.0000000Z;2020-02-17T00:00:00.0000000Z;2020-02-10T00:10:37.0000000Z;2020-02-16T23:59:24.0000000Z;4.447400000
2020-02-17T00:00:00.0000000Z;2020-02-24T00:00:00.0000000Z;2020-02-17T00:00:51.0000000Z;2020-02-23T23:46:42.0000000Z;4.254900000
2020-02-24T00:00:00.0000000Z;2020-03-02T00:00:00.0000000Z;2020-02-24T00:09:40.0000000Z;2020-03-01T23:50:44.0000000Z;3.867700000
2020-03-02T00:00:00.0000000Z;2020-03-09T00:00:00.0000000Z;2020-03-02T00:41:11.0000000Z;2020-03-08T23:59:38.0000000Z;4.040500000
2020-03-09T00:00:00.0000000Z;2020-03-16T00:00:00.0000000Z;2020-03-09T00:01:35.0000000Z;2020-03-15T23:59:01.0000000Z;2.103600000
2020-03-16T00:00:00.0000000Z;2020-03-23T00:00:00.0000000Z;2020-03-16T00:01:05.0000000Z;2020-03-22T23:56:55.0000000Z;1.992200000
2020-03-23T00:00:00.0000000Z;2020-03-30T00:00:00.0000000Z;2020-03-23T00:00:43.0000000Z;2020-03-29T23:37:24.0000000Z;2.018500000
2020-03-30T00:00:00.0000000Z;2020-04-06T00:00:00.0000000Z;2020-03-30T00:41:34.0000000Z;2020-04-05T20:29:20.0000000Z;2.270000000
2020-04-06T00:00:00.0000000Z;2020-04-13T00:00:00.0000000Z;2020-04-06T00:02:39.0000000Z;2020-04-12T23:59:28.0000000Z;3.406700000
2020-04-13T00:00:00.0000000Z;2020-04-20T00:00:00.0000000Z;2020-04-13T00:00:15.0000000Z;2020-04-19T23:59:49.0000000Z;3.593900000
2020-04-20T00:00:00.0000000Z;2020-04-27T00:00:00.0000000Z;2020-04-20T00:01:46.0000000Z;2020-04-26T23:57:12.0000000Z;3.715700000
2020-04-27T00:00:00.0000000Z;2020-05-04T00:00:00.0000000Z;2020-04-27T00:01:16.0000000Z;2020-05-03T23:03:16.0000000Z;3.710500000
2020-05-04T00:00:00.0000000Z;2020-05-11T00:00:00.0000000Z;2020-05-04T00:27:55.0000000Z;2020-05-10T23:40:17.0000000Z;3.743000000
2020-05-11T00:00:00.0000000Z;2020-05-18T00:00:00.0000000Z;2020-05-11T00:31:14.0000000Z;2020-05-17T23:51:56.0000000Z;3.776300000
2020-05-18T00:00:00.0000000Z;2020-05-25T00:00:00.0000000Z;2020-05-18T01:00:01.0000000Z;2020-05-24T23:59:51.0000000Z;3.795700000
2020-05-25T00:00:00.0000000Z;2020-06-01T00:00:00.0000000Z;2020-05-25T00:00:10.0000000Z;2020-05-31T23:54:43.7800000Z;4.127800000
2020-06-01T00:00:00.0000000Z;2020-06-08T00:00:00.0000000Z;2020-06-01T00:01:53.9160000Z;2020-06-07T22:34:05.0000000Z;4.326600000
2020-06-08T00:00:00.0000000Z;2020-06-15T00:00:00.0000000Z;2020-06-08T00:30:32.0000000Z;2020-06-14T23:53:55.0000000Z;3.941800000
2020-06-15T00:00:00.0000000Z;2020-06-22T00:00:00.0000000Z;2020-06-15T00:03:08.0000000Z;2020-06-21T23:53:51.0000000Z;4.190800000
2020-06-22T00:00:00.0000000Z;2020-06-29T00:00:00.0000000Z;2020-06-22T00:05:54.0000000Z;2020-06-28T23:46:41.0000000Z;4.554300000
2020-06-29T00:00:00.0000000Z;2020-07-06T00:00:00.0000000Z;2020-06-29T00:32:23.7500000Z;2020-07-05T23:59:09.0000000Z;4.749200000
2020-07-06T00:00:00.0000000Z;2020-07-13T00:00:00.0000000Z;2020-07-06T00:41:25.0000000Z;2020-07-12T23:58:57.0000000Z;7.364200000
2020-07-13T00:00:00.0000000Z;2020-07-20T00:00:00.0000000Z;2020-07-13T00:01:16.0000000Z;2020-07-19T23:51:41.0000000Z;8.061800000
2020-07-20T00:00:00.0000000Z;2020-07-27T00:00:00.0000000Z;2020-07-20T00:01:14.0000000Z;2020-07-26T23:48:18.0000000Z;7.496800000
2020-07-27T00:00:00.0000000Z;2020-08-03T00:00:00.0000000Z;2020-07-27T00:01:31.0000000Z;2020-08-02T23:56:01.0860000Z;8.285700000
2020-08-03T00:00:00.0000000Z;2020-08-10T00:00:00.0000000Z;2020-08-03T00:04:14.8710000Z;2020-08-09T23:57:59.9060000Z;13.849000000
2020-08-10T00:00:00.0000000Z;2020-08-17T00:00:00.0000000Z;2020-08-10T00:01:20.5550000Z;2020-08-16T23:55:14.9320000Z;18.760900000
2020-08-17T00:00:00.0000000Z;2020-08-24T00:00:00.0000000Z;2020-08-17T00:00:53.5410000Z;2020-08-23T23:59:59.4130000Z;15.169900000
2020-08-24T00:00:00.0000000Z;2020-08-31T00:00:00.0000000Z;2020-08-24T00:02:35.2240000Z;2020-08-30T23:59:07.6710000Z;16.440100000
2020-08-31T00:00:00.0000000Z;2020-09-07T00:00:00.0000000Z;2020-08-31T00:01:39.1200000Z;2020-09-06T23:54:42.9020000Z;12.765000000
2020-09-07T00:00:00.0000000Z;2020-09-14T00:00:00.0000000Z;2020-09-07T00:00:58.3150000Z;2020-09-13T23:55:01.5860000Z;11.983400000
2020-09-14T00:00:00.0000000Z;2020-09-21T00:00:00.0000000Z;2020-09-14T00:05:13.0470000Z;2020-09-20T23:47:31.0400000Z;9.805300000
2020-09-21T00:00:00.0000000Z;2020-09-28T00:00:00.0000000Z;2020-09-21T00:00:53.7610000Z;2020-09-27T23:45:06.5000000Z;10.808500000
2020-09-28T00:00:00.0000000Z;2020-10-05T00:00:00.0000000Z;2020-09-28T00:01:24.3750000Z;2020-10-04T23:51:54.0760000Z;9.400400000
2020-10-05T00:00:00.0000000Z;2020-10-12T00:00:00.0000000Z;2020-10-05T00:02:07.8330000Z;2020-10-11T23:58:07.9070000Z;10.837800000
2020-10-12T00:00:00.0000000Z;2020-10-19T00:00:00.0000000Z;2020-10-12T00:01:19.9520000Z;2020-10-18T23:35:31.7520000Z;10.870300000
2020-10-19T00:00:00.0000000Z;2020-10-26T00:00:00.0000000Z;2020-10-19T00:02:22.0470000Z;2020-10-25T23:28:52.9360000Z;12.159900000
2020-10-26T00:00:00.0000000Z;2020-11-02T00:00:00.0000000Z;2020-10-26T00:00:58.2050000Z;2020-11-01T23:55:18.0490000Z;11.526100000
2020-11-02T00:00:00.0000000Z;2020-11-09T00:00:00.0000000Z;2020-11-02T00:02:21.9980000Z;2020-11-08T23:51:32.2130000Z;12.780700000
2020-11-09T00:00:00.0000000Z;2020-11-16T00:00:00.0000000Z;2020-11-09T00:02:09.7810000Z;2020-11-15T23:55:19.7350000Z;12.143700000
2020-11-16T00:00:00.0000000Z;2020-11-23T00:00:00.0000000Z;2020-11-16T00:01:23.2360000Z;2020-11-22T23:57:53.8160000Z;14.530100000
2020-11-23T00:00:00.0000000Z;2020-11-30T00:00:00.0000000Z;2020-11-23T00:00:14.9610000Z;2020-11-29T23:56:29.3530000Z;13.349700000
2020-11-30T00:00:00.0000000Z;2020-12-07T00:00:00.0000000Z;2020-11-30T00:01:00.6280000Z;2020-12-06T23:58:04.2800000Z;13.467800000
2020-12-07T00:00:00.0000000Z;2020-12-14T00:00:00.0000000Z;2020-12-07T00:00:16.7540000Z;2020-12-13T23:52:04.9380000Z;12.938620000
2020-12-14T00:00:00.0000000Z;2020-12-21T00:00:00.0000000Z;2020-12-14T00:00:13.9390000Z;2020-12-20T23:59:10.4530000Z;13.058400000
2020-12-21T00:00:00.0000000Z;2020-12-28T00:00:00.0000000Z;2020-12-21T00:00:50.0170000Z;2020-12-27T23:59:42.6230000Z;12.143380000
2020-12-28T00:00:00.0000000Z;2021-01-04T00:00:00.0000000Z;2020-12-28T00:00:33.1530000Z;2021-01-03T23:59:14.2620000Z;13.641760000
2021-01-04T00:00:00.0000000Z;2021-01-11T00:00:00.0000000Z;2021-01-04T00:00:06.3550000Z;2021-01-10T23:59:52.3620000Z;16.210100000
2021-01-11T00:00:00.0000000Z;2021-01-18T00:00:00.0000000Z;2021-01-11T00:00:00.6630000Z;2021-01-17T23:59:42.8220000Z;23.359000000
2021-01-18T00:00:00.0000000Z;2021-01-25T00:00:00.0000000Z;2021-01-18T00:00:14.4070000Z;2021-01-24T23:59:24.8270000Z;24.724100000
2021-01-25T00:00:00.0000000Z;2021-02-01T00:00:00.0000000Z;2021-01-25T00:00:01.6090000Z;2021-01-31T23:59:59.3640000Z;22.570000000
2021-02-01T00:00:00.0000000Z;2021-02-08T00:00:00.0000000Z;2021-02-01T00:00:03.2930000Z;2021-02-07T23:59:58.6910000Z;24.722750000
2021-02-08T00:00:00.0000000Z;2021-02-15T00:00:00.0000000Z;2021-02-08T00:00:00.1850000Z;2021-02-14T23:59:59.1840000Z;33.170350000
2021-02-15T00:00:00.0000000Z;2021-02-22T00:00:00.0000000Z;2021-02-15T00:00:00.3930000Z;2021-02-21T23:59:05.2410000Z;34.114000000
2021-02-22T00:00:00.0000000Z;2021-03-01T00:00:00.0000000Z;2021-02-22T00:00:04.1600000Z;2021-02-28T23:59:59.8900000Z;24.669000000
2021-03-01T00:00:00.0000000Z;2021-03-08T00:00:00.0000000Z;2021-03-01T00:00:05.4320000Z;2021-03-07T23:59:58.7190000Z;28.581000000
2021-03-08T00:00:00.0000000Z;2021-03-15T00:00:00.0000000Z;2021-03-08T00:00:00.4390000Z;2021-03-14T23:59:58.8680000Z;28.551000000
